venue	method	path	use_case	data_kind	checked_at	doc_version	schema_hash	fixture_id	parser_test	request_builder_test	auth_kind
Binance	Get	/fapi/v1/depth	HotPathFallback	OrderBook	2026-06-03	binance-usdm-futures-order-book-2026-06-03	sha256:96d4fd6d973f203dfeb60ed85dbcd8cac6b56096c06f3bc698911b81c3069815	crates/exchange/fixtures/binance/usdm_order_book_depth_btcusdt.json	orderbook_parses_official_fixture_levels	orderbook_parses_official_fixture_levels	public
Okx	Get	/api/v5/market/books	HotPathFallback	OrderBook	2026-06-03	okx-v5-market-data-get-order-book-2026-06-03	sha256:c62a9a951d7c2ec8c81799a7018847c71360fab0c4fc43b13316d4bcd4bce677	crates/exchange/fixtures/okx/market_books_btc_usdt_swap.json	okx_orderbook_parses_official_fixture_levels	okx_orderbook_rest_parses_official_fixture_and_uses_inst_id_sz_query	public
Bybit	Get	/v5/market/orderbook	HotPathFallback	OrderBook	2026-06-03	bybit-v5-get-orderbook-2026-06-03	sha256:28590d90c8a573426e7e66d849afe931815ed8a19ce2855deee9519c314d86b3	crates/exchange/fixtures/bybit/orderbook_linear_btcusdt.json	bybit_orderbook_parses_official_linear_fixture	bybit_orderbook_rest_uses_linear_symbol_limit_query	public
Bitget	Get	/api/v3/market/orderbook	HotPathFallback	OrderBook	2026-06-03	bitget-uta-get-orderbook-2026-06-03	sha256:acd772c2dcf8a9e427cdeedc8622fa2db0123cb0c7fd9ac9bf3865aecb08c944	crates/exchange/fixtures/bitget/uta_orderbook_usdt_futures_btcusdt.json	bitget_uta_orderbook_parses_official_fixture_levels	bitget_uta_orderbook_uses_official_path_category_symbol_limit_query	public
Gate	Get	/api/v4/futures/usdt/order_book	HotPathFallback	OrderBook	2026-06-03	gate-apiv4-query-futures-market-depth-information-2026-06-03	sha256:6d2d9f450255d4e1c3fe0b5fd3c858fb2d3eb011de1580f6681bcca17299b874	crates/exchange/fixtures/gate/futures_usdt_order_book_btc_usdt.json	gate_futures_orderbook_parses_official_fixture_levels	gate_futures_orderbook_uses_official_path_contract_and_limit_query	public
Kucoin	Get	/api/v1/level2/depth20	HotPathFallback	OrderBook	2026-06-03	kucoin-futures-get-part-orderbook-2026-06-03	sha256:7a25800ba89748c3942baf6df567118e5a15e563342aa14dfd220b856d0771ee	crates/exchange/fixtures/kucoin/futures_depth20_xbtusdtm.json	kucoin_depth20_parses_official_fixture_levels	kucoin_depth20_uses_official_path_and_symbol_query	public
Hyperliquid	Post	/info	HotPathFallback	OrderBook	2026-06-03	hyperliquid-info-l2book-2026-06-03	sha256:ca8d9ead4d832f01a30897dbf6d4ff11c3816c17ecddd0f36491b9d40ef4317e	crates/exchange/fixtures/hyperliquid/l2book_btc.json	hyperliquid_l2book_parses_official_fixture_levels	get_orderbook_l2book	public
Binance	Get	/fapi/v1/time	Calibration	ServerTime	2026-06-03	binance-usdm-futures-check-server-time-2026-06-03	sha256:ab3c03f5f73ddb47c0f7c3e29ab661e2eefb54d64077a56e23bf1da6b8ae53c5	crates/exchange/fixtures/binance/usdm_server_time.json	server_time_parses_official_fixture_and_uses_no_query	server_time_parses_official_fixture_and_uses_no_query	public
Okx	Get	/api/v5/public/time	Calibration	ServerTime	2026-06-03	okx-v5-public-get-system-time-2026-06-03	sha256:cfad0f259e94475017ec3bf7113726b106a4441706d6e76bc966c15b4ff9a5bb	crates/exchange/fixtures/okx/public_time.json	public_time_parses_official_fixture_and_uses_no_query	public_time_parses_official_fixture_and_uses_no_query	public
Bybit	Get	/v5/market/time	Calibration	ServerTime	2026-06-03	bybit-v5-get-server-time-2026-06-03	sha256:1d29f70422c2ba49f8376edf961697bba0d9b60404c175f64e26e4f44c2ac34c	crates/exchange/fixtures/bybit/server_time.json	bybit_server_time_parses_official_fixture_and_uses_no_query	bybit_server_time_parses_official_fixture_and_uses_no_query	public
Bitget	Get	/api/v2/public/time	Calibration	ServerTime	2026-06-03	bitget-common-get-server-time-2026-06-03	sha256:6bf033a6f551b96c422f46cf6f176c1a5219bd8e1df0258e0efd8533fb6c39ef	crates/exchange/fixtures/bitget/server_time.json	bitget_server_time_parses_official_fixture_and_uses_no_query	bitget_server_time_parses_official_fixture_and_uses_no_query	public
Gate	Get	/api/v4/spot/time	Calibration	ServerTime	2026-06-03	gate-apiv4-get-server-current-time-2026-06-03	sha256:3f245cc394c090f3d1f68e1c5afade2d72ffe18d6413c15a0f94650bf15b93f0	crates/exchange/fixtures/gate/server_time.json	gate_server_time_parses_official_fixture_and_uses_no_query	gate_server_time_parses_official_fixture_and_uses_no_query	public
Kucoin	Get	/api/v1/timestamp	Calibration	ServerTime	2026-06-03	kucoin-futures-get-server-time-2026-06-03	sha256:ad228065d5e1bee6a4bfd7d6da8d4fc72d6e5ed057ea5adc2069605332c543d2	crates/exchange/fixtures/kucoin/server_time.json	kucoin_server_time_parses_official_fixture_and_uses_no_query	kucoin_server_time_parses_official_fixture_and_uses_no_query	public
