path	methods	router	class	default_exposure	risk	auth_policy	audit_policy	feature_flag	shared_dto	frontend_client	owner	notes
/api/alerts/rules	GET	alerts	product_support	default_off	medium	bearer	read	api_surface.watchlist_alerts	shared	ApiClient::alert_rules	api-alerts	Volatile alert-rule runtime read with queued/blocked delivery truth; disabled by default behind the watchlist-alerts feature gate.
/api/alerts/rules	POST	alerts	product_support	default_off	high	bearer	required	api_surface.watchlist_alerts	shared	none	api-alerts	Business-idempotent alert-rule mutation with bounded cooldown validation and audited feature-gated runtime effects.
/api/alerts/rules/:id	DELETE	alerts	product_support	default_off	high	bearer	required	api_surface.watchlist_alerts	shared	none	api-alerts	Replay-safe alert deletion clears cooldown state and is serialized with notification queueing.
/api/arbitrage/funding-rates	GET	arbitrage	main_p0	always	low	bearer	read	core	shared	ApiClient::funding_rates	api-arbitrage	Shared funding rates read model.
/api/arbitrage/opportunities/:id/confirm	POST	arbitrage	main_p0	always	high	bearer	action_run	core	shared	ApiClient::confirm_hedge	api-execution	HedgeTicket confirm entrypoint.
/api/arbitrage/opportunities/:id/preview	POST	arbitrage	main_p0	always	medium	bearer	read	core	shared	ApiClient::preview_hedge	api-execution	HedgeTicket preview entrypoint.
/api/auth/ws-ticket	POST	auth	main_p0	always	medium	bearer	read	core	shared	ApiClient::ws_ticket	api-realtime	Short-lived one-use browser WebSocket auth ticket minted from REST Bearer auth.
/api/automation/config	PATCH	automation	main_p0	always	high	bearer	action_run	core	shared	ApiClient::update_automation_config	api-automation	ActionRun-audited default-off automation thresholds and Paper or Live mode mutation.
/api/automation/control	POST	automation	main_p0	always	high	bearer	action_run	core	shared	ApiClient::control_automation	api-automation	ActionRun-audited pause, resume and emergency-stop controls; execution still uses the shared HedgeTicket chain.
/api/automation/execution-artifacts/build	POST	automation	main_p0	always	medium	bearer	read	core	shared	ApiClient::build_execution_artifact	api-execution	Builds a short-lived deterministic execution artifact bound to the stored preview snapshot, ticket and idempotency identity; never submits an order.
/api/automation/execution-artifacts/validate	POST	automation	main_p0	always	low	bearer	read	core	shared	ApiClient::validate_execution_artifact	api-execution	Revalidates preview presence, snapshot and ticket binding, checksum, TTL, bilateral WS market evidence, depth, cost, order plans and risk without submitting an order.
/api/automation/status	GET	automation	main_p0	always	medium	bearer	read	core	shared	ApiClient::automation_status	api-automation	Automation configuration, runtime state and bounded structured decision history.
/api/chat	POST	chat	non_main	default_off	medium	bearer	external_payload	api_surface.chat	frontend_local	none	api-chat	Allowlisted LLM diagnostic payload only; no frontend client because it is not part of the P0 trading workflow.
/api/chat/providers	GET	chat	non_main	default_off	low	bearer	read	api_surface.chat	frontend_local	none	api-chat	Registered LLM provider evidence metadata; no frontend client and disabled by default with api_surface.chat.
/api/exchanges/:venue/orderbook	GET	exchanges	main_p0	always	medium	bearer	read	core	shared	ApiClient::orderbook+ApiClient::orderbook_read	api-market	Manual orderbook read with market-data evidence.
/api/exchanges/credentials	GET	exchanges	main_p0	always	medium	bearer	read	core	shared	ApiClient::venue_credentials	api-settings	Credential status read without secret values.
/api/exchanges/credentials	POST	exchanges	main_p0	always	high	bearer	secret_mutation	core	shared	ApiClient::save_venue_credentials+ApiClient::save_venue_credentials_with_idempotency_key	api-settings	Credential save action.
/api/exchanges/credentials/clear	POST	exchanges	main_p0	always	high	bearer	secret_mutation	core	shared	ApiClient::clear_venue_credentials+ApiClient::clear_venue_credentials_with_idempotency_key	api-settings	Credential clear action with ActionRun audit and idempotency replay.
/api/exchanges/credentials/migrate	POST	exchanges	main_p0	always	high	bearer	secret_mutation	core	shared	ApiClient::migrate_venue_credentials+ApiClient::migrate_venue_credentials_with_idempotency_key	api-settings	Credential migration action with ActionRun audit and idempotency replay.
/api/history/funding	GET	history	main_p0	always	low	bearer	read	core	shared	none	api-history	History envelope read.
/api/history/funding-diff-stats	GET	history	main_p0	always	low	bearer	read	core	shared	none	api-history	Funding diff stats read.
/api/history/funding-diffs	GET	history	main_p0	always	low	bearer	read	core	shared	none	api-history	Funding diff history read.
/api/history/index-compositions	GET	history	main_p0	always	low	bearer	read	core	shared	none	api-history	Index composition history read.
/api/history/opportunities	GET	history	main_p0	always	low	bearer	read	core	shared	ApiClient::opportunity_history	api-history	Opportunity history read.
/api/llm/daily-brief	POST	chat	diagnostic	default_off	medium	bearer	external_payload	api_surface.llm_diagnostics	frontend_local	none	api-chat	LLM diagnostic route; disabled by default.
/api/llm/diagnose-failure	POST	chat	diagnostic	default_off	medium	bearer	external_payload	api_surface.llm_diagnostics	frontend_local	none	api-chat	LLM diagnostic route; disabled by default.
/api/llm/explain-opportunity	POST	chat	diagnostic	default_off	medium	bearer	external_payload	api_surface.llm_diagnostics	frontend_local	none	api-chat	LLM diagnostic route; disabled by default.
/api/onchain/comparison	GET	onchain	main_p0	always	low	bearer	read	core	shared	ApiClient::onchain_comparison	api-onchain	Read-only DEX/CEX comparison snapshot with full costs, direction-specific inventory and executable-build readiness evidence; reading never submits a transaction.
/api/onchain/comparison/batch	GET	onchain	main_p0	always	low	bearer	read	core	shared	ApiClient::onchain_batch	api-onchain	Read the bounded read-only multi-asset comparison queue; DEX targets share one provider budget and CEX rows consume WS-derived spot ticks.
/api/onchain/comparison/batch	POST	onchain	main_p0	always	medium	bearer	required	core	shared	ApiClient::add_current_onchain_batch	api-onchain	Add the current explicit chain, token identity, provider and CEX pair configuration to the bounded comparison queue without signing or broadcasting.
/api/onchain/comparison/batch/remove	POST	onchain	main_p0	always	medium	bearer	required	core	shared	ApiClient::remove_onchain_batch	api-onchain	Remove one read-only comparison target from the bounded queue by stable item identifier.
/api/onchain/cex-pairs	GET	onchain	main_p0	always	low	bearer	read	core	shared	ApiClient::onchain_cex_pairs	api-onchain	Structured CEX spot pair candidates projected from current venue spot-tick evidence for the resolved on-chain base asset.
/api/onchain/comparison/config	PATCH	onchain	main_p0	always	medium	bearer	required	core	shared	ApiClient::update_onchain_comparison	api-onchain	Audited Solana mint, raw amount, CEX mapping, fee, gas, slippage, liquidity and freshness configuration.
/api/onchain/comparison/refresh	POST	onchain	main_p0	always	low	bearer	required	core	shared	ApiClient::refresh_onchain_comparison	api-onchain	Manual read-only quote refresh; never requests a Jupiter transaction or signs or broadcasts.
/api/onchain/cross-chain/build	POST	onchain	main_p0	always	medium	bearer	required	core	shared	ApiClient::build_onchain_cross_chain_preview	api-onchain	Build a four-leg non-atomic route and execution contracts; full readiness checks precede authorization.
/api/onchain/cross-chain/authorize	POST	onchain	main_p0	always	high	bearer	required	core	shared	ApiClient::authorize_onchain_cross_chain	api-onchain	Persist explicit actor-bound authorization and an idempotency key; no broadcast.
/api/onchain/cross-chain/submit	POST	onchain	main_p0	always	high	bearer	required	core	shared	ApiClient::submit_onchain_cross_chain	api-onchain	Requote and submit exactly the requested expectedPosition using durable claims and actual previous credit.
/api/onchain/cross-chain/recheck	POST	onchain	main_p0	always	low	bearer	required	core	shared	ApiClient::recheck_onchain_cross_chain	api-onchain	Idempotently restore read-only reconciliation for a paused step with a persisted transaction hash and original actor; never rebroadcast, alter amounts or submit the next step.
/api/onchain/cross-chain/runs	GET	onchain	main_p0	always	medium	bearer	read	core	shared	ApiClient::onchain_cross_chain_runs	api-onchain	Read durable run state, retaining all unresolved operations for recovery; reading does not query external chains or submit funds.
/api/onchain/execution/build	POST	onchain	main_p0	always	high	bearer	required	core	shared	ApiClient::build_onchain_execution	api-onchain	Build a five-second immutable Jupiter, 0x or OKX DEX transaction plus official CEX Spot IOC plan after inventory, gas, allowance, depth, capability, remote preflight and positive-net-profit checks.
/api/onchain/execution/runs	GET	onchain	main_p0	always	medium	bearer	read	core	shared	ApiClient::onchain_execution_runs	api-onchain	Read bounded recent chain/CEX run state for page-refresh recovery and pending chain-finality follow-up without exposing signer material.
/api/onchain/execution/submit	POST	onchain	main_p0	always	high	bearer	required	core	shared	ApiClient::submit_onchain_execution	api-onchain	Claim a one-time build by buildId only, revalidate, sign server-side, submit the CEX Spot leg, broadcast the chain transaction and reconcile or compensate terminal outcomes.
/api/onchain/replenishment/build	POST	onchain	main_p0	always	high	bearer	required	core	shared	none	api-onchain	Build a deterministic, bounded-life replenishment plan from fresh transfer-network and inventory evidence; destination proof and current live authorization remain mandatory before any fund movement.
/api/onchain/replenishment/authorize	POST	onchain	main_p0	always	high	bearer	required	core	shared	none	api-onchain	Persist one explicit 60-second live replenishment authorization bound to a fresh deterministic plan and idempotency key; this endpoint does not submit a withdrawal, conversion or transfer.
/api/onchain/replenishment/submit	POST	onchain	main_p0	always	high	bearer	required	core	shared	none	api-onchain	Revalidate an explicitly authorized replenishment plan, durably claim a deterministic client transfer id, verify the matching withdrawal wallet balance, submit exactly once, and recover by read-only finality queries without blind write retries.
/api/onchain/replenishment/plans	GET	onchain	main_p0	always	medium	bearer	read	core	shared	none	api-onchain	Read bounded fresh replenishment plans restored from the append-only local ledger; expired plans are never returned.
/api/onchain/replenishment/runs	GET	onchain	main_p0	always	medium	bearer	read	core	shared	none	api-onchain	Read bounded persisted replenishment authorization and recovery states, projecting expired authorization windows without moving funds.
/api/onchain/token/resolve	POST	onchain	main_p0	always	low	bearer	required	core	shared	ApiClient::resolve_onchain_token	api-onchain	Resolve a Solana mint through Jupiter token metadata or read EVM ERC-20 metadata through chain-verified read-only JSON-RPC.
/api/onchain/credentials	GET	onchain	main_p0	always	medium	bearer	read	core	shared	ApiClient::onchain_provider_credentials	api-onchain	Read Jupiter, 0x, OKX DEX and address-validated Solana/EVM signer credential presence and storage source without returning secret values.
/api/onchain/credentials	POST	onchain	main_p0	always	high	bearer	secret_mutation	core	shared	ApiClient::save_onchain_provider_credentials	api-onchain	Validate and persist selected Provider or wallet signer credentials through the shared secret backend with ActionRun audit.
/api/onchain/credentials/clear	POST	onchain	main_p0	always	high	bearer	secret_mutation	core	shared	ApiClient::clear_onchain_provider_credentials	api-onchain	Clear selected Provider or wallet signer credentials with ActionRun audit and idempotency replay.
/api/options/greeks	POST	options	non_main	default_off	medium	bearer	read	api_surface.options	shared	none	api-options	Diagnostic-only options calculator; disabled by default and intentionally has no frontend client.
/api/options/iv	POST	options	non_main	default_off	medium	bearer	read	api_surface.options	shared	none	api-options	Diagnostic-only options calculator; disabled by default and intentionally has no frontend client.
/api/options/positions	GET	options	non_main	default_off	low	bearer	read	api_surface.options	shared	none	api-options	Options positions are disabled by default and fail closed with OPTIONS_POSITIONS_UNSUPPORTED until a verified option account source exists.
/api/options/price	POST	options	non_main	default_off	medium	bearer	read	api_surface.options	shared	none	api-options	Diagnostic-only options calculator; disabled by default and intentionally has no frontend client.
/api/review/executed	GET	review	main_p0	always	low	bearer	read	core	shared	ApiClient::review_executed+ApiClient::review_executed_page	api-review	Review executed trade table.
/api/review/missed	GET	review	main_p0	always	low	bearer	read	core	shared	ApiClient::review_missed+ApiClient::review_missed_page	api-review	Review missed opportunity table.
/api/review/settlements	GET	review	main_p0	always	low	bearer	read	core	shared	ApiClient::review_settlements	api-review	Read-only saved onchain and stock receipts by source and original record ID; native currencies are not combined into realized profit.
/api/review/strategy-performance	GET	review	main_p0	always	low	bearer	read	core	shared	ApiClient::strategy_performance	api-review	Review strategy performance table.
/api/strategy/main-kinds	GET	strategy	main_p0	always	low	bearer	read	core	shared	ApiClient::main_strategy_kinds	api-strategy	Main product strategy exposure endpoint; returns only MainP0 executable strategy kinds for Futures and Opportunities chips.
/api/system/health	GET	system	main_p0	always	low	bearer	read	core	shared	ApiClient::system_health+ApiClient::system_health_envelope	api-system	Runtime health read through the shared resource envelope.
/api/system/gate-crossex	GET	system	main_p0	always	low	bearer	read	core	shared	ApiClient::gate_crossex_mode	api-system	Read the independent Gate CrossEx mode, selected native routes, underlying venue identity and live runtime state.
/api/system/gate-crossex/config	PATCH	system	main_p0	always	medium	bearer	required	core	shared	ApiClient::update_gate_crossex_mode	api-system	ActionRun-audited Gate CrossEx mode, minimum spread and bounded native-route selection mutation.
/api/system/gate-crossex/routes	GET	system	main_p0	always	low	bearer	read	core	shared	ApiClient::gate_crossex_routes	api-system	Read the official Gate CrossEx native route catalog without treating a route as independent liquidity.
/api/system/market-data-diagnostics	GET	system	diagnostic	always	low	bearer	read	core	shared	ApiClient::market_data_diagnostics	api-system	Market data diagnostics read.
/api/system/market-subscriptions	GET	system	main_p0	always	low	bearer	read	core	shared	ApiClient::market_subscriptions	api-system	Read persisted per-venue Spot, Perp and Funding subscription intent plus actual connection, warm-up and cache coverage state.
/api/system/market-subscriptions/config	PATCH	system	main_p0	always	medium	bearer	required	core	shared	ApiClient::update_market_subscription_with_context	api-system	ActionRun-audited per-venue feed subscription mutation; disabling a feed stops its connection, reconnect and cache writes, while enabling resumes warm-up.
/api/system/venue-operation-health	GET	system	diagnostic	always	low	bearer	read	core	shared	ApiClient::venue_operation_health+ApiClient::venue_operation_health_for_venue	api-system	Venue operation health read; optional venue query scopes rows.
